Iteration,SMILES,Modification,CO2 Adsorption,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N,Initial SMILES,1.036,3.36,391.39,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(O),Introduced a hydroxyl group (-OH) to the aromatic ring.,0.997,3.5,407.39,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(N),Introduced an amino group (-NH2) to the aromatic ring.,0.984,3.46,406.4,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(N(=O)=O),Introduced a nitro group (-NO2) to the aromatic ring.,0.909,3.61,436.38,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(S(=O)(=O)O),Introduced a sulfonic acid group (-SO3H) to the aromatic ring.,0.898,3.49,471.45,Valid
5,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C(=O)O),Introduced a carboxyl group (-COOH) to the aromatic ring.,0.97,3.37,435.4,Valid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(F),Introduced a fluorine atom to the aromatic ring.,1.522,3.59,409.38,Valid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(Cl),Introduced a chlorine atom to the aromatic ring.,1.176,3.6,425.83,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)N,Introduced an alkylamine group (-NHCH3) to the aromatic ring.,1.0,3.59,420.43,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C(F)(F)F),Introduced a trifluoromethyl group (-CF3) to the aromatic ring.,1.819,3.58,459.38,Valid
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C#N),Introduced a cyano group (-CN) to the aromatic ring.,0.877,3.6,416.4,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(OCH3),Introduced a methoxy group (-OCH3) to the aromatic ring.,0.0,0.0,0.0,Invalid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(OH),Introduced a hydroxyl group (-OH) to the aromatic ring.,0.0,0.0,0.0,Invalid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C),Introduced a methyl group (-CH3) to the aromatic ring.,1.056,3.4,405.41,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(c1ccccc1),Introduced a phenyl group to the aromatic ring.,0.993,3.2,467.49,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(c1ncccc1),Introduced a pyridine ring to the aromatic ring.,0.926,3.34,468.47,Valid
16,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(c1ccccc1C),Introduced a benzyl group to the aromatic ring.,1.011,3.25,481.51,Valid
17,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C(C)C),Introduced an ethyl group (-CH2CH3) to the aromatic ring.,1.092,3.4,433.47,Valid
18,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C(C)CC),Introduced a propyl group (-CH2CH2CH3) to the aromatic ring.,1.109,3.83,447.5,Valid
19,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C(C)CCC),Introduced a butyl group (-CH2CH2CH2CH3) to the aromatic ring.,1.126,3.83,461.52,Valid
