Iteration,SMILES,Modification,CO2 Adsorption,Uncertainty,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C#N,Initial SMILES,0.885,0.033,3.69,430.42,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccc(cc2)N,Added an aromatic amine group to enhance CO2 interaction.,1.428,0.174,3.3,482.5,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccc(cc2)O,Introduced an OH group to enhance CO2 adsorption.,1.358,0.12,3.29,483.48,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ncc(cc2)O,Introduced a nitrogen heteroatom for additional CO2 interaction sites.,1.217,0.071,3.46,484.47,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ncc(cc2)N(=O)=O,Introduced a NO2 group to enhance CO2 adsorption.,1.062,0.057,3.46,513.47,Valid
5,Li.Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ncc(cc2)N(=O)=O,"Attempted to incorporate a lithium atom for metal decoration, but resulted in an invalid SMILES.",0.0,0.0,0.0,0.0,Invalid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccccc2,Optimized pore size through structural changes.,1.449,0.136,3.2,467.49,Valid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccccc2S(=O)(=O)O,Introduced a sulfonic acid group (OSO3H) to enhance CO2 adsorption.,1.101,0.105,3.4,547.55,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccccc2C(C)C,Introduced a hydrophobic group to improve CO2 capture in humid conditions.,1.398,0.066,3.34,509.57,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ncccc2C(C)C,Introduced another nitrogen heteroatom for additional CO2 interaction sites.,1.253,0.051,3.49,510.55,Valid
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ncccc2Nc3ccc(cc3)N,Introduced another aromatic amine group to enhance CO2 interaction.,1.153,0.07,3.46,574.6,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccnc(c2)N,Introduced a pyridine ring to enhance CO2 interaction.,1.312,0.082,3.45,515.53,Valid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccnc(c2)O,Introduced a pyridine ring and an OH group to enhance CO2 interaction.,1.278,0.079,3.48,516.52,Valid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccnc(c2)N(=O)=O,Introduced a pyridine ring and a NO2 group to enhance CO2 interaction.,1.234,0.075,3.5,545.52,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccnc(c2)S(=O)(=O)O,Introduced a pyridine ring and a sulfonic acid group to enhance CO2 interaction.,1.189,0.071,3.52,579.6,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2ccnc(c2)C(C)C,Introduced a pyridine ring and a hydrophobic group to enhance CO2 interaction.,1.356,0.068,3.39,541.57,Valid
16,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2nccnc2,Introduced a pyrimidine ring to enhance CO2 interaction.,1.295,0.077,3.51,516.52,Valid
17,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2nccnc2O,Introduced a pyrimidine ring and an OH group to enhance CO2 interaction.,1.261,0.074,3.54,517.51,Valid
18,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2nccnc2N(=O)=O,Introduced a pyrimidine ring and a NO2 group to enhance CO2 interaction.,1.217,0.07,3.56,546.51,Valid
19,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])Nc2nccnc2S(=O)(=O)O,Introduced a pyrimidine ring and a sulfonic acid group to enhance CO2 interaction.,1.172,0.066,3.58,580.59,Valid
