Iteration,SMILES,Modification,CO2 Adsorption,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N,Initial SMILES,1.036,3.3603779392727047,391.387,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(O),Introduced -OH group,0.997,3.5001389900031485,407.386,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(N),Introduced -NH2 group,0.984,3.457181725045883,406.402,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(N(=O)=O),Introduced -NO2 group,0.909,3.6061234597483525,436.384,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(S(=O)(=O)O),Introduced -SO3H group,0.898,3.4893013600834344,471.451,Valid
5,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C(=O)O),Introduced -COOH group,0.97,3.3713554812152573,435.396,Valid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C#N),Introduced -CN group,0.877,3.6000476596463535,416.397,Valid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(F),Introduced -F group,1.522,3.591390272054431,409.377,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(Cl),Introduced -Cl group,1.176,3.6027509558151145,425.832,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(Br),Introduced -Br group,1.032,3.6101030925672504,470.283,Valid
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(I),Introduced -I group,0.996,3.670809075473233,517.283,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C),Introduced -CH3 group,1.056,3.399612494276653,405.414,Valid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C(F)(F)F),Introduced -CF3 group,1.819,3.5820501363072115,459.384,Valid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C(=O)C),Introduced -COCH3 group,1.022,3.3104002039343987,433.424,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CO),Introduced -CH2OH group,1.017,3.510418538767233,421.413,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CN),Introduced -CH2NH2 group,1.0,3.520194912393606,420.429,Valid
16,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CN(=O)=O),Introduced -CH2NO2 group,0.927,3.7192422554240485,450.411,Valid
17,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CS(=O)(=O)O),Introduced -CH2SO3H group,0.908,3.5486857416199733,485.478,Valid
18,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CC(=O)O),Introduced -CH2COOH group,0.99,3.389518659918431,449.423,Valid
19,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CC#N),Introduced -CH2CN group,0.885,3.540745296772595,430.424,Valid
20,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CF),Introduced -CH2F group,1.528,3.60894216514086,423.404,Valid
