Iteration,SMILES,Modification,Docking Score,SA Score,QED Score,Molecular Weight,Validity
0,CN1CCN(C2=C(NC(C3=CC=CC=C3Cl)=O)C=C([N+]([O-])=O)C=C2)CC1,Initial SMILES,-6.7,1.97,0.66,374.83,Valid
1,CN1CCN(C2=C(NC(C3=CC=CC=C3Cl)=O)C=C([N+]([O-])=O)C=C2C4=CC=CC=C4)CC1,Added an aromatic ring to enhance hydrophobic interactions.,-7.2,2.28,0.44,450.93,Valid
2,CN1CCN(C2=C(NC(C3=CC=CC=C3Cl)=O)C=C([N+]([O-])=O)C=C2C4=CC=CC=C4)CC1C(=O)NCCCCN,Added a 4-aminobutanamido group to enhance binding affinity.,-7.1,3.13,0.19,565.07,Valid
3,CN1CCN(C2=C(NC(C3=CC=CC=C3Cl)=O)C=C(C#N)C=C2C4=CC=CC=C4)CC1,Replaced the nitro group with a cyano group to reduce steric hindrance.,-7.4,2.29,0.64,430.94,Valid
4,CN1CCN(C2=C(NC(C3=CC=CC=C3Cl)=O)C=C(C#N)C=C2C4=CC=C(OC)C=C4)CC1,Added a methoxy group to the aromatic ring to enhance hydrophobic interactions.,-7.1,2.35,0.59,460.97,Valid
5,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OC)C=C4)CC1,Replaced the chlorine atom with a fluorine atom to improve fit and interactions.,-7.5,2.36,0.63,444.51,Valid
6,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCC)C=C4)CC1,Replaced the methoxy group with an ethoxy group to enhance hydrophobic interactions.,-7.9,2.4,0.58,458.54,Valid
7,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCC)C=C4)CC1,Replaced the ethoxy group with a propoxy group to further enhance hydrophobic interactions.,-7.7,2.44,0.51,472.56,Valid
8,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4)CC1,Replaced the propoxy group with a butoxy group to further enhance hydrophobic interactions.,-8.2,2.46,0.42,486.59,Valid
9,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCCC)C=C4)CC1,Replaced the butoxy group with a pentoxy group to further enhance hydrophobic interactions.,-8.2,2.48,0.37,500.62,Valid
10,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCCCC)C=C4)CC1,Replaced the pentoxy group with a hexoxy group to further enhance hydrophobic interactions.,-6.9,2.51,0.32,514.65,Valid
11,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4C(F)(F)F)CC1,Reverted to the butoxy group and added a trifluoromethyl group to the aromatic ring to enhance interactions.,-8.4,2.74,0.25,554.59,Valid
12,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4C([N+]([O-])=O)CC1,Replaced the trifluoromethyl group with a nitro group to enhance interactions.,0.0,0.0,0.0,0.0,Invalid
13,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4C#N)CC1,Replaced the trifluoromethyl group with a cyano group to enhance interactions.,-7.4,2.71,0.41,511.6,Valid
14,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4OC)CC1,Reverted to the butoxy group and added a methoxy group to the aromatic ring to enhance hydrophobic interactions.,-7.0,2.59,0.38,516.62,Valid
15,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4OH)CC1,Reverted to the butoxy group and added a hydroxyl group to the aromatic ring to enhance hydrogen bonding interactions.,0.0,0.0,0.0,0.0,Invalid
16,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4C)CC1,Reverted to the butoxy group and added a methyl group to the aromatic ring to enhance hydrophobic interactions.,-7.9,2.57,0.39,500.62,Valid
17,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OPh)C=C4)CC1,Replaced the butoxy group with a phenoxy group to further enhance hydrophobic interactions.,0.0,0.0,0.0,0.0,Invalid
18,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4OC(F)(F)F)CC1,Reverted to the butoxy group and added a trifluoromethoxy group to the aromatic ring to enhance interactions.,-7.1,2.8,0.24,570.59,Valid
19,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4CF2)CC1,Reverted to the butoxy group and added a difluoromethyl group to the aromatic ring to enhance interactions.,0.0,0.0,0.0,0.0,Invalid
20,CN1CCN(C2=C(NC(C3=CC=CC=C3F)=O)C=C(C#N)C=C2C4=CC=C(OCCCC)C=C4SC(F)(F)F)CC1,Reverted to the butoxy group and added a trifluoromethylthio group to the aromatic ring to enhance interactions.,-7.1,2.93,0.16,586.66,Valid
