Iteration,SMILES,Modification,Docking Score,SA Score,QED Score,Molecular Weight,Validity
0,c1ccc2c(cc(s2)C(=O)N)c1,Initial SMILES,-5.3,1.91,0.71,177.23,Valid
1,c1ccc2c(cc(s2)C(=O)Nc3ccccc3)c1,Introduced an aromatic ring to enhance π-π stacking interactions with Tyr191.,-7.1,1.6,0.73,253.33,Valid
2,c1ccc2c(cc(s2)C(=O)Nc3ccccc3CC)c1,Added a rational long linker to explore the solvent-exposed region.,-6.8,1.79,0.74,281.38,Valid
3,c1ccc2c(cc(s2)C(=O)Nc3ccccc3C)c1,Introduced a substituent group at the 4-position of the aromatic ring to explore the solvent area.,-6.7,1.68,0.73,267.35,Valid
4,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4)c1,Introduced an additional aromatic ring to enhance π-π stacking interactions.,-8.1,1.69,0.5,329.42,Valid
5,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4CC(=O)NCC(=O)N5CCC(C5)C(=O)O,Added a biotin tag to the solvent-exposed region to enhance binding affinity.,0.0,0.0,0.0,0.0,Invalid
6,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4OC)c1,Introduced a methoxy group at the 4-position of the aromatic ring to explore the solvent area.,-7.9,1.81,0.5,359.45,Valid
7,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4F)c1,Introduced a fluorine atom at the 4-position of the aromatic ring to explore the solvent area.,-8.1,1.81,0.49,347.41,Valid
8,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4Cl)c1,Introduced a chlorine atom at the 4-position of the aromatic ring to explore the solvent area.,-8.2,1.81,0.44,363.87,Valid
9,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4C(F)(F)F)c1,Introduced a trifluoromethyl group at the 4-position of the aromatic ring to explore the solvent area.,-8.3,2.01,0.4,397.42,Valid
10,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4[N+](=O)[O-])c1,Introduced a nitro group at the 4-position of the aromatic ring to explore the solvent area.,-7.8,1.98,0.37,374.42,Valid
11,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4C#N)c1,Introduced a cyano group at the 4-position of the aromatic ring to explore the solvent area.,-8.0,1.96,0.51,354.43,Valid
12,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4O)c1,Introduced a hydroxyl group at the 4-position of the aromatic ring to explore the solvent area.,-7.7,1.88,0.51,345.42,Valid
13,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4C)c1,Introduced a methyl group at the 4-position of the aromatic ring to explore the solvent area.,-8.3,1.79,0.48,343.45,Valid
14,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4CC)c1,Introduced an ethyl group at the 4-position of the aromatic ring to explore the solvent area.,-8.4,1.87,0.45,357.48,Valid
15,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4CCC)c1,Introduced a propyl group at the 4-position of the aromatic ring to explore the solvent area.,-8.7,1.93,0.41,371.51,Valid
16,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4CCCC)c1,Introduced a butyl group at the 4-position of the aromatic ring to explore the solvent area.,-8.5,1.95,0.37,385.53,Valid
17,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccccc4c5ccccc5)c1,Introduced a phenyl group at the 4-position of the aromatic ring to explore the solvent area.,-8.8,1.86,0.33,405.52,Valid
18,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccncc4)c1,Introduced a pyridine ring at the 4-position of the aromatic ring to explore the solvent area.,-7.7,1.88,0.56,330.41,Valid
19,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4cccs4)c1,Introduced a thiophene ring at the 4-position of the aromatic ring to explore the solvent area.,-7.3,1.92,0.5,335.45,Valid
20,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)c4ccco4)c1,Introduced a furan ring at the 4-position of the aromatic ring to explore the solvent area.,-7.5,1.93,0.55,319.39,Valid
