Iteration,SMILES,Modification,logCMC,Uncertainty,SA Score,Molecular Weight,Validity
0,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,Initial SMILES,1.785,0.321,2.8,297.4,Valid
1,CCCCCCCCC(CC)C(=O)CC(=O)NC1CCOC1=O,Introduced branching in the alkyl chain,1.745,0.336,3.27,325.45,Valid
2,CCCCCCCCC(CC)(C)C(=O)CC(=O)NC1CCOC1=O,Added methyl group to increase branching,1.726,0.297,3.43,339.48,Valid
3,CCCCCCCCC(CC)(CC)C(=O)CC(=O)NC1CCOC1=O,Replaced methyl with ethyl group for more branching,1.399,0.379,3.26,353.5,Valid
4,CCCCCCCCC(CC)(CC)C(=O)CC(=O)NC1CC(C)OC1=O,Added methyl group to the polar head group,1.717,0.404,3.26,353.5,Valid
5,CCCCCCCCC(CC)(CC)C(=O)CC(=O)NC1CCC(O)C1=O,Modified polar head group structure,1.177,0.38,3.71,367.53,Valid
6,CCCCCCCCC(CC)(CC)C(=O)CC(=O)NC1CCC(O)C(=O)C1,Further modified polar head group structure,1.247,0.429,3.67,381.56,Valid
7,CCCCCCCCC(CC)(CC)C(=O)CC(=O)NC1CCC(F)C1=O,Replaced hydroxyl group with fluorine,1.182,0.423,3.8,369.52,Valid
8,CCCCCCCCC(CC)(CC)C(=O)CC(=O)NC1CCC(CF)C1=O,Added fluoromethyl group to polar head,1.001,0.425,3.85,383.55,Valid
9,CCCCCCCCC(CC)(CC)C(=O)CC(=O)NC1CCC(OCF)C1=O,Added fluoromethoxy group to polar head,0.869,0.318,3.97,399.55,Valid
10,CCCCCCCCC(CC)(CC)C(=O)CC(=O)NC1CCC(OCCl)C1=O,Replaced fluoromethoxy with chloromethoxy group,0.919,0.346,3.95,416.0,Valid
11,CCCCCCCC(C)(CC)C(CC)(CC)C(=O)CC(=O)NC1CCC(OCF)C1=O,Modified alkyl chain branching,1.396,0.404,4.43,441.63,Valid
12,CCCCCCCCC(CC)(CC)C(=O)CCC(=O)NC1CCC(OCF)C1=O,Extended linker region,0.786,0.361,3.92,413.57,Valid
13,CCCCCCCCC(CC)(CC)C(=O)CCCC(=O)NC1CCC(OCF)C1=O,Further extended linker region,0.719,0.348,3.9,427.6,Valid
14,CCCCCCCC(C)(CC)C(CC)(CC)C(=O)CCCC(=O)NC1CCC(OCF)C1=O,Modified alkyl chain branching with extended linker,1.227,0.441,4.36,469.68,Valid
15,CCCCCCCCC(CC)(CC)C(=O)CCCC(=O)NC1CCC(OCF)C(=O)C1,Modified polar head group structure,0.85,0.339,3.88,441.63,Valid
16,CCCCCCCCC(CC)(CC)C(=O)CCOCC(=O)NC1CCC(OCF)C1=O,Introduced oxygen in the linker region,0.587,0.362,3.99,443.6,Valid
17,CCCCCCCCC(CC)(CC)C(=O)CCOCCOC(=O)NC1CCC(OCF)C1=O,Extended linker with additional oxygen,0.535,0.421,4.01,473.63,Valid
18,CCCCCCCC(C)(CC)C(CC)(CC)C(=O)CCOCCOC(=O)NC1CCC(OCF)C1=O,Modified alkyl chain branching with extended oxygenated linker,1.098,0.451,4.45,515.71,Valid
