Iteration,SMILES,Modification,CO2 Adsorption,Uncertainty,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C#N,Initial SMILES,0.885,0.033,3.69,430.42,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N,Replaced C#N with C(=O)N to increase polarity and potential for hydrogen bonding,0.977,0.071,3.54,448.44,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)O,Changed C(=O)N to C(=O)O to increase acidity and potential for CO2 interaction,0.99,0.095,3.49,449.42,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)ON,"Added N to C(=O)O to form C(=O)ON, increasing potential for hydrogen bonding",0.954,0.077,3.68,464.44,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC,Changed C(=O)ON to C(=O)OC to explore effect of methoxy group,1.009,0.094,3.5,463.45,Valid
5,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC,Extended C(=O)OC to C(=O)OCC to increase hydrophobicity,1.027,0.092,3.48,477.48,Valid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCN,Changed C(=O)OCC to C(=O)OCN to introduce additional nitrogen for potential CO2 interaction,0.973,0.078,3.66,478.47,Valid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCO,Extended C(=O)OCC to C(=O)OCCO to introduce hydroxyl group,1.004,0.088,3.56,493.48,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC(C)C,Changed C(=O)OCC to C(=O)OC(C)C to introduce branching,1.037,0.084,3.55,491.5,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC(C)(C)C,Extended C(=O)OC(C)C to C(=O)OC(C)(C)C to increase steric hindrance,1.046,0.076,3.51,505.53,Valid
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC(C)C,Changed C(=O)OC(C)(C)C to C(=O)OCC(C)C to explore different branching pattern,1.052,0.081,3.54,505.53,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCC(C)C,Extended C(=O)OCC(C)C to C(=O)OCCC(C)C to increase chain length,1.067,0.078,3.54,519.56,Valid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCC(C)C,Extended C(=O)OCCC(C)C to C(=O)OCCCC(C)C to further increase chain length,1.083,0.076,3.55,533.59,Valid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCCC(C)C,Extended C(=O)OCCCC(C)C to C(=O)OCCCCC(C)C to explore effect of longer chain,1.098,0.073,3.56,547.62,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCCCC(C)C,Extended C(=O)OCCCCC(C)C to C(=O)OCCCCCC(C)C to further increase chain length,1.112,0.071,3.57,561.64,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC1CCCCC1,Changed C(=O)OCCCCCC(C)C to C(=O)OC1CCCCC1 to introduce cyclohexyl group,1.105,0.069,3.53,545.59,Valid
