Iteration,SMILES,Modification,CO2 Adsorption,Uncertainty,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C#N,Initial SMILES,0.885,0.033,3.69,430.42,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CC)C#N,Replaced N(C)C#N with N(CC)C#N to increase CO2 adsorption,0.895,0.033,3.73,444.45,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CCO)C#N,Replaced N(CC)C#N with N(CCO)C#N to increase CO2 adsorption,0.884,0.036,3.77,460.45,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N,Replaced N(C)C#N with N(C)C(=O)N to increase CO2 adsorption,0.977,0.071,3.54,448.44,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)O,Replaced N(C)C(=O)N with N(C)C(=O)O to increase CO2 adsorption,0.99,0.095,3.49,449.42,Valid
5,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NO,Replaced N(C)C(=O)O with N(C)C(=O)NO to increase CO2 adsorption,0.954,0.077,3.63,464.44,Valid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NH2,Replaced N(C)C(=O)NO with N(C)C(=O)NH2 to increase CO2 adsorption,0.0,0.0,0.0,0.0,Invalid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC,Replaced N(C)C(=O)O with N(C)C(=O)OC to increase CO2 adsorption,1.009,0.094,3.5,463.45,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCO,Replaced N(C)C(=O)OC with N(C)C(=O)OCO to increase CO2 adsorption,0.986,0.09,3.64,479.45,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC,Replaced N(C)C(=O)OC with N(C)C(=O)OCC to increase CO2 adsorption,1.027,0.092,3.48,477.48,Valid
