Iteration,SMILES,Modification,CO2 Adsorption,Uncertainty,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C#N,Initial SMILES,0.885,0.033,3.69,430.42,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N,Replaced C#N with C(=O)N to increase polarity and potential for hydrogen bonding,0.977,0.071,3.54,448.44,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)O,Replaced C(=O)N with C(=O)O to increase acidity and potential for CO2 interaction,0.99,0.095,3.49,449.42,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC,"Added a methyl group to the carboxylic acid to form a methyl ester, potentially increasing CO2 interaction",1.009,0.094,3.5,463.45,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC,Extended the ester group by adding an ethyl group to increase hydrophobicity,1.027,0.092,3.48,477.48,Valid
5,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCO,Added a hydroxyl group to the ethyl ester to increase polarity and hydrogen bonding,1.004,0.088,3.56,493.48,Valid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCN,Replaced the hydroxyl group with an amino group to increase basicity and potential for CO2 interaction,0.991,0.08,3.59,492.49,Valid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC(C)C,Added an isopropyl group to increase hydrophobicity and potentially improve CO2 interaction,1.037,0.084,3.55,491.5,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC(C)(C)C,Added a tert-butyl group to further increase hydrophobicity and potentially improve CO2 interaction,1.046,0.076,3.51,505.53,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC(C)C,Added an isobutyl group to increase hydrophobicity while maintaining flexibility,1.052,0.081,3.54,505.53,Valid
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCC(C)C,Extended the chain with an isopentyl group to further increase hydrophobicity,1.067,0.078,3.54,519.56,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCC(C)C,Further extended the chain with a 4-methylpentyl group to increase hydrophobicity,1.083,0.076,3.55,533.59,Valid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCCC(C)C,Extended the chain further with a 5-methylhexyl group to increase hydrophobicity,1.098,0.075,3.54,547.61,Valid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCCCC(C)C,Extended the chain further with a 6-methylheptyl group to increase hydrophobicity,1.113,0.074,3.54,561.64,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCCCCC(C)C,Extended the chain further with a 7-methyloctyl group to increase hydrophobicity,1.128,0.073,3.53,575.67,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCCCCCC(C)C,Extended the chain further with an 8-methylnonyl group to increase hydrophobicity,1.143,0.072,3.52,589.7,Valid
16,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC(C)CC(C)(C)C,Added a tert-butyl group to the isobutyl ester to increase hydrophobicity and potential for CO2 interaction,1.157,0.071,3.56,561.64,Valid
17,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC(C)CC(C)(C)CC,Extended the tert-butyl group with an ethyl group to further increase hydrophobicity,1.171,0.07,3.55,589.7,Valid
18,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC(C)CC(C)(C)CCC,Extended the previous modification with a propyl group to further increase hydrophobicity,1.185,0.069,3.54,603.72,Valid
19,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC(C)CC(C)(C)C(C)C,Replaced the propyl group with an isopropyl group to maintain hydrophobicity while slightly reducing molecular weight,1.199,0.068,3.55,603.72,Valid
20,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC(C)CC(C)(C)C(C)(C)C,Replaced the isopropyl group with another tert-butyl group to further increase hydrophobicity and potential for CO2 interaction,1.213,0.067,3.56,617.75,Valid
