Iteration,SMILES,Modification,CO2 Adsorption,Uncertainty,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C#N,Initial SMILES structure,0.885,0.033,3.69,430.42,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N,Replaced cyano group (-C#N) with an amide group (-C(=O)N) to incorporate more polar functional groups,0.977,0.071,3.54,448.44,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NC,Added a methyl group to the amide to increase polar surface area,0.994,0.072,3.54,462.47,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NCCn1ccnc1,Added an imidazole group connected by an ethyl linker to introduce nitrogen-containing heterocycles,0.93,0.066,3.63,542.56,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NCO,Replaced the imidazole group with a simpler hydroxyl group to incorporate polar functional groups while keeping molecular weight lower,0.973,0.078,3.64,478.47,Valid
5,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NCCN,Added an ethylamine group to increase the number of amine groups for CO2 binding,0.974,0.067,3.56,491.51,Valid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)Nc1ccccc1,Added a phenyl ring connected to the amide group to increase aromatic character,0.951,0.065,3.34,524.54,Valid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NCF,Added a fluorine atom to the amide group to induce dipole moments,1.372,0.244,3.72,480.46,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NCC(F)(F)F,Added a trifluoromethyl group connected to the amide via an ethyl linker to incorporate halogen atoms,1.655,0.279,3.62,530.46,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NCCC(F)(F)F,Extended the linker between the amide and the trifluoromethyl group by one carbon for more flexibility,1.656,0.275,3.63,544.49,Valid
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NCc1cn(CC(F)(F)F)cn1,Introduced an imidazole ring with a trifluoromethyl-substituted ethyl group to combine nitrogen-containing heterocycle and fluorine atoms,1.46,0.227,3.87,610.55,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)NC(C(F)(F)F)C(F)(F)F,Incorporated two trifluoromethyl groups directly connected to the amide nitrogen to increase dipole moments and CO2 interactions,1.844,0.239,3.9,598.46,Valid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N(CC(F)(F)F)C(F)(F)F,Incorporated two trifluoromethyl groups connected to the amide nitrogen to increase dipole moments and CO2 interactions,1.844,0.239,3.92,598.46,Valid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N(CC(F)(F)F)CCN,Replaced one trifluoromethyl group with an ethylamine group to combine fluorine atoms and additional amine groups for CO2 binding,1.582,0.284,3.79,573.53,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N(CC(F)(F)F)CCO,Incorporated one trifluoromethyl group and a hydroxyethyl group to combine fluorine atoms and additional polar groups for CO2 binding,1.591,0.258,3.76,574.52,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N(CC(F)(F)F)CCN=C,Incorporated one trifluoromethyl group and an imine group to combine fluorine atoms and additional nitrogen-containing groups for CO2 binding,1.567,0.267,4.0,585.54,Valid
16,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N(CC(F)(F)F)CF,Incorporated one trifluoromethyl group and a fluoromethyl group to maximize fluorine content while keeping molecular weight low,1.789,0.251,3.88,568.47,Valid
17,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N(CC(F)(F)F)C(F)F,Incorporated one trifluoromethyl group and a difluoromethyl group to balance fluorine content and molecular weight,1.812,0.245,3.9,586.48,Valid
18,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N(CC(F)(F)F)CCF,Incorporated one trifluoromethyl group and a fluoroethyl group to explore different fluorine positions,1.701,0.262,3.75,582.5,Valid
19,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N(CC(F)(F)F)CC#N,Incorporated one trifluoromethyl group and a cyanoethyl group to combine fluorine atoms and a nitrogen-containing group,1.623,0.271,3.83,583.51,Valid
20,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N(CC(F)(F)F)CCS,Incorporated one trifluoromethyl group and a thioethyl group to explore sulfur-containing groups,1.678,0.256,3.78,590.58,Valid
