Iteration,SMILES,Modification,CO2 Adsorption,Uncertainty,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C#N,Initial SMILES,0.885,0.033,3.69,430.42,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=N)N,Replaced cyano group with guanidine group to increase nitrogen atoms and polar functional groups,0.964,0.061,3.63,447.46,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=N)NO,Added hydroxyl group to guanidine to increase polarity and hydrogen bonding potential,0.943,0.064,3.8,463.45,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2cccnc2,Replaced guanidine group with pyridine ring to introduce nitrogen-containing heterocycle,1.278,0.051,3.47,482.5,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nccnc2,Replaced pyridine ring with pyrazine ring to introduce additional nitrogen atom,1.288,0.061,3.58,483.49,Valid
5,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nc(O)cnc2,Added hydroxyl group to pyrazine ring to increase polarity,1.24,0.068,3.78,499.49,Valid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2ccc3ncccc3c2,Replaced pyrazine ring with quinoline ring to increase aromatic surface area,1.265,0.076,3.45,532.56,Valid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)S(=O)(=O)c2cccnc2,Introduced sulfonamide group connected to pyridine ring to increase polarity,1.02,0.12,3.48,546.57,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nncnn2,Replaced pyrazine ring with tetrazole ring to introduce more nitrogen atoms,1.264,0.089,3.85,485.46,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2cnnn2C,"Introduced 1,2,3-triazole ring to increase number of nitrogen atoms while maintaining aromaticity",1.304,0.076,3.84,486.49,Valid
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2c(O)nnn2C,Added hydroxyl group to triazole ring to increase polarity,1.263,0.078,3.85,502.49,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2c(c3ccccc3)nnn2C,Added phenyl group to triazole ring to expand aromatic system,1.262,0.07,3.66,562.59,Valid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2c(C(=O)O)nnn2C,Added carboxyl group to triazole ring to increase polarity and hydrogen bonding potential,1.164,0.064,3.79,530.5,Valid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nccn2C,Replaced triazole ring with imidazole ring to maintain nitrogen-rich heterocycle,1.305,0.057,3.67,485.5,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nc(CN)cn2C,Added aminomethyl group to imidazole ring to increase polarity and hydrogen bonding potential,1.268,0.061,3.86,514.55,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nc(F)cn2C,Added fluorine atom to imidazole ring to increase polarity,1.698,0.197,3.85,503.49,Valid
16,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nc(F)c(F)n2C,Added another fluorine atom to imidazole ring to further increase polarity,1.833,0.232,3.92,521.48,Valid
17,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CF)c2nc(F)c(C(F)(F)F)n2C,Added fluorine to connecting nitrogen and replaced one fluorine on imidazole with trifluoromethyl group,1.978,0.225,4.1,589.48,Valid
18,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(CF)c2nc(F)c(C(F)(F)F)n2CF,Added fluoromethyl group to imidazole nitrogen to further increase fluorine content,2.002,0.214,4.24,607.47,Valid
19,FC(F)(F)c1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(C(F)(F)F)cc(c(c1N)N)C(=O)[O-])N(CF)c2nc(F)c(C(F)(F)F)n2CF,Replaced some amino groups with trifluoromethyl groups to maximize fluorine content,2.289,0.227,4.32,713.44,Valid
20,FC(F)(F)c1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(C(F)(F)F)cc(c(c1N)N)C(=O)[O-])N(CF)c2nc(F)c(C(F)(F)F)n2C(F)(F)F,Replaced fluoromethyl group on imidazole nitrogen with trifluoromethyl group,2.297,0.231,4.35,749.42,Valid
